sample,T(℃),Ar,N2,CO,CH4,C2H6,C3H8,He,H2,O2,HCl,H2S,SO2,Stotal,CO2,H2O,note
040211DYK,,13.3,1571,,9.03,0.001,,0.35,10.6,184,0.26,1114,300,1414,54169,942629,
040220DYK,,152,13204,,10.5,,,0.77,7.66,3040,,,,1278,1253,981054,
040316DYK,,3.69,752,,6.34,,,0.49,40.7,31.1,0.36,1242,135,1376,103446,894342,
040407DYK,,4.51,568,,3.17,,,,96.5,49.1,270,,,3209,144797,851003,
040416DYK,,5.89,950,,10.3,0.04,,1.35,48.6,59.9,32.3,1101,512,1616,201110,796166,
040423DYK,,5.84,582,,21.6,0.05,,0.31,37.7,25,3.4,,,1039,78744,919541,
040501DYK,,5.37,730,,19.8,,,0.42,35.6,43.9,4.42,,,1318,182112,815729,
040805DYK,,15.6,1388,3.59,4.5,,,0.61,147,156,123,,,3504,100220,894437,
040818DYK,,219,18314,,81.5,,,0.28,7178,3671,18523,,,4058,234406,713548,黑色標本
040903DYK,,22.1,1769,,1.03,,,0.52,154,210,314,,,4264,105692,887574,
041022DYK,,2.76,442,,34.6,,,0.27,65,5.83,151,,,3632,39991,955675,
041229DYK,110.7,5.52,493,1.37,48.4,1.09,,0.33,2.81,68.3,51.8,,,268,67120,931940,
050309DYK,100.1,121,10581,3.4,99.5,2.24,,0.53,12.3,2495,702,,,3289,124011,858683,
050407DYK,103.3,6.59,600,2.93,60.5,,,,5.78,153,849,,,2847,129078,866397,
050418DYK,103.1,154,13707,5.11,141,3.04,,0.46,19.9,3964,922,,,3249,166202,811633,
050526DYK,103.7,163,14968,4.09,12.1,0.02,,0.3,1.12,,1040,,,7548,97634,878629,
050616DYK,98.7,1.36,494,,4.49,0.01,,0.35,0.28,16.4,970,,,2100,99327,897086,
050726DYK,116,14.3,1433,4.25,258,,,0.77,10.4,290,470,,,2380,82070,913070,
050819DYK,115,3.22,507,,139,0.02,,0.5,7.19,18.2,1544,,,5877,56390,935514,
050930DYK,104,44.8,3862,0.07,8.47,0.01,,0.42,6.61,604,429,,,2146,48713,944185,
060119DYK,112.7,121,10221,0.5,13.2,0.02,,0.44,72.2,2234,1096,,,2519,132085,851639,
060214DYK,114.4,2.41,321,,12.9,0.04,,0.28,984,3.15,492,,,1452,92916,903816,
060214DYK2,114.4,1.86,296,,12.6,0.03,,0.21,488,4.86,258,,,1489,86666,910783,
060222DYK,131,3.81,386,,18,0.03,,0.26,1.8,26.3,1548,,,2383,133294,862339,
060222DYK2,131,5.14,482,,12.6,0.1,,0.28,1.18,77.7,3091,,,2615,120085,873631,
060311DYK,,3.5,427,0.03,23.5,0.65,,,,,1473,,,3615,28967,965490,
060411DYK,118,1.45,261,0.35,8.02,0.22,,,1.13,,241,,,1959,37207,960321,
060418DYK,119,5.15,948,0.29,17.6,0.2,,0.1,3.61,1.84,949,,,3370,41739,952965,
060525DYK,113,2.2,582,,6.3,0.01,,0.7,0.78,24.3,280,,,4286,76299,918518,
060615DYK,,44.2,4054,0.17,6.85,0.03,,0.11,,107,575,,,4103,60766,930343,
060620DYK,,87.5,7802,0.29,7.67,0.03,,,0.19,153,403,,,5652,84158,901737,
060705DYK,117.4,0.99,325,0.02,7.65,0.01,,0.41,0.17,0.8,297,,,3622,27617,968130,
060718DYK,104,589,53110,4.44,156,0.16,,2.37,1.42,10165,135,,,39054,788171,108611,
060801DYK,105,423,35707,1.36,28.2,0.29,,2.97,2.14,8185,1141,,,14466,755905,184138,
060811DYK,101.4,8.8,965,,7.57,0.01,,0.24,0.15,147,86.2,,,3971,40326,954488,
060804DYK,115.9,3.88,509,,5.39,0.01,,1.52,0.16,70.3,478,,,3123,41501,954308,
060830DYK,116.7,0.8,266,,8.09,0.01,,0.14,0.12,6.33,1110,,,3822,35270,959517,
060904DYK,115.4,12,1136,0.05,7.7,0.01,,0.16,0.4,234,361,,,4435,29648,964165,
061005DYK,116.7,1.22,341,,8.04,0.01,,0.23,0.14,11.3,573,,,4029,44717,950319,
061017DYK,116,21,2021,0.11,11.6,0.02,,0.17,0.08,417,1311,,,3408,28855,963954,
070119DYK,115,29.9,2659,0.06,8.82,0.02,,0.18,0.1,588,1967,,,4107,56313,934326,
070329DYK,114,1.51,370,0.01,6.64,0.01,,0.22,0.12,21.9,1974,,,2730,35087,959809,
070429DYK,112.7,1.13,320,,6.71,0.01,,,,,1029,,,5269,28898,964477,
070430DYK,116.3,20.1,2019,0.01,6.96,0.01,,0.07,1.69,134,540,,,6659,26987,963632,
070529DYK,114.2,28.1,2525,,3.14,,,0.08,0.05,495,2446,,,3872,39859,950771,
070703DYK,117,1.4,343,,7.4,,,0.17,,14.5,1072,,,3269,41305,953988,
070815DYK,116,59.3,5053,0.09,4.16,,,0.11,0.13,1173,1063,,,5818,56642,930188,
070816DYK,116,52.1,4424,0.1,5.53,,,0.32,0.39,985,996,,,3712,60886,928939,
071012DYK,118.2,28.1,2581,,6.06,,,0.14,0.14,437,1418,,,3472,24301,967756,
080112DYK,115.8,36.4,3233,,6.65,0.01,,0.12,0.64,632,1221,,,5528,45478,943864,
080329DYK,114.6,1.35,344,,6.92,0.01,,0.13,0.06,18.2,1358,,,3756,35097,959418,
080414DYK,116.8,35.2,3100,,5.79,,,0.19,0.17,652,1137,,,4068,45784,945218,
080515DYK,115.3,33,2920,,3.97,,,0.16,0.2,392,1475,,,3168,51933,940074,
080624DYK,115,2.25,485,,3.95,,,0.14,0.78,26.4,1017,,,3230,50241,944994,
080806DYK,117,44.4,4243,0.18,5.85,,,0.17,23.2,996,495,,,3066,55262,935864,
080806DYK2,117,17.1,1777,0.08,6.81,,,0.08,4.85,361,462,,,3167,44342,949863,
081021DYK,114,,3519,3.76,8.06,0.27,,0.17,8.04,747,342,,,2874,25700,966798,
081216DYK,116,23.6,2143,0.14,5.39,0.03,,0.29,0.12,442,490,,,2780,23508,970606,
090114DYK,97.9,5.59,616,,6.3,,,0.26,0.14,75.5,35.5,,,2365,20109,976787,
090311DYK,111,39,3511,0.81,6.1,,,0.27,5.19,884,563,,,1325,25729,967936,
090430DYK,118.7,1.07,290,,1.06,,,,,6.36,1132,,,1254,21868,975447,
