sample	T(¢J)	Ar	N2 	CO 	CH4 	C2H6 	C3H8	He 	H2 	O2	HCl 	H2S	SO2	Stotal	CO2 	H2O	note
091213 CSL-2  	41.2	61	5106	 -  	518	0.77	 -  	2.13	24.1	30.5	3.64	 - 	 - 	2867	150910	840477	
																	
100307 CSL-2  	56	49	4346	 -  	331	0.53	 -  	2.25	16.3	4.09	4.01	 - 	 - 	4808	165213	825225	
100505 CSL-2  	57.3	132	11545	 -  	1408	2.55	 -  	4.1	31.6	570	226	 - 	 - 	59092	305359	621629	
100526 CSL-2  	53.6	231	21976	 -  	2407	4.39	 -  	4.04	135	696	557	 - 	 - 	107285	806579	60124	
100619 CSL-2  	55.8	170	14298	 -  	1211	2.13	 -  	1.45	70.9	292	329	 - 	 - 	38980	386177	558470	
100825 CSL-2  	66.9	59.5	4628	 -  	372	 -  	 -  	1.7	20	1.79	3.82	 - 	 - 	6946	95901	892066	
101118 CSL-2   	28.4	377	31145	 - 	2457	3.21	  - 	5.12	199	2083	6.66	 - 	 - 	32058	595859	335808	
																	
110411 CSL-2 	 -	43.2	3580	 - 	237	0.33	  - 	0.96	11.5	 - 	16.4	 - 	 - 	8178	167352	820580	
																	
																	
111104 CSL-2 	 -	211	21453	1.58	2634	7.75	0.47	4	125	230	473	 - 	 - 	77349	773790	123721	
