sample,T(¢J),Ar,N2,CO,CH4,C2H6,C3H8,He,H2,O2,HCl,H2S,SO2,Stotal,CO2,H2O,note
080109TRK,78,376,24159,0.73,561,11.2,,,0.47,485,959,,,5662,496711,471076,
080203TRK,72.7,79.7,4218,0.16,234,4.78,,0.05,2.22,217,616,,,308,94708,899613,
080323TRK,68.5,684,52667,3.92,236,1.83,,,,10990,26.4,,,1195,246181,688016,
080531TRK,76.5,210,11083,,411,2.75,,,1.72,179,855,,,1914,551193,434150,
080615TRK,,379,18185,,903,12.5,,,6.95,3100,248,,,606,620216,356343,
080723TRK,68.3,539,25423,,1763,30.1,,,,2021,23,,,2291,622768,345141,
080729TRK,68.8,588,29114,,1693,28.8,,,,4448,19,,,1609,675982,286518,
080921TRK,65.7,1549,89873,62.5,4573,67,,1.93,25.7,14620,21,,,5334,595001,288872,
081004TRK,64.9,2367,122590,73,8596,174,,4.98,2.34,7203,30.2,,,8557,617559,232843,
081102TRK,67.7,1660,88046,,6826,113,,4.66,3.83,3937,14.8,,,7306,867745,24343,
081206TRK,65.8,3875,192034,,11880,180,,6.48,56,11388,87,,,4435,775834,223,
090118TRK,61.6,978,47935,,2735,,,,,1281,363,,,3030,498614,445065,
090224TRK,,1909,103419,,6283,92.3,,5.37,3.22,4865,334,,,3847,643705,235537,
090826TRK,70.9,910,41004,3.74,26890,40,,1.18,1.19,3502,8.58,,,3734,638608,309498,
090908TRK,68,121,9060,,231,1.76,,,,9.25,150,,,1501,316827,672099,
100226TRK,68.6,39.3,2304,,72,1.1,,0.09,0.05,406,0.07,,,50.66,25700,971426,
100422TRK,75,365,22036,,498,5.46,0.74,0.98,3.54,4452,,,,1173,664724,306742,
100526TRK,69.6,879,41838,2.69,2757,47.1,5.22,3.19,6.76,2851,,,,3714,374319,573578,
100702TRK,70.4,1166,61191,,3688,66.6,6.95,2.89,5.98,7351,856,,,1231,254579,669857,
100817TRK,71.7,1053,53205,,2850,50,0,0,0,7264,,,,575,335899,599104,
101013TRK,74.4,615,31628,6.52,1762,28.7,3.01,1.89,11.6,4111,780,,,2379,419679,538995,
110314TRK,67,1553,79396,6.17,4876,61.6,4.36,,,9103,225,,,2001,745892,156881,
110412TRK,68.1,1532,111781,,860,14.2,,,,22977,133,,,990,715877,145835,
111028TRK,,1272,57482,6.82,4200,100,12.5,2.58,1.5,2798,753,,,14604,569559,349210,
